,user,1,2,3,4,5,6,7,8,9,10
28,1,Back to the Future (1985),Life Is Beautiful (La Vita è bella) (1997),Babe (1995),Run Lola Run (Lola rennt) (1998),Sling Blade (1996),Pulp Fiction (1994),Ghostbusters (1984),Who Framed Roger Rabbit? (1988),Godfather% The (1972),
29,0,Enemy of the State (1998),Star Wars: Episode I - The Phantom Menace (1999),Face/Off (1997),Untouchables% The (1987),Batman (1989),Titanic (1953),Princess Bride% The (1987),Thomas Crown Affair% The (1999),Galaxy Quest (1999),
30,0,Sling Blade (1996),Green Mile% The (1999),Good Will Hunting (1997),Life Is Beautiful (La Vita è bella) (1997),Dead Man Walking (1995),Reservoir Dogs (1992),Shakespeare in Love (1998),Grifters% The (1990),Seven (Se7en) (1995),
31,0,Vacation (1983),Breakfast Club% The (1985),Big (1988),Palm Beach Story% The (1942),Caddyshack (1980),Ruthless People (1986),Duck Soup (1933),Airplane! (1980),Parenthood (1989),
32,0,Braveheart (1995),Reservoir Dogs (1992),Simple Plan% A (1998),Schindler's List (1993),Run Lola Run (Lola rennt) (1998),Shawshank Redemption% The (1994),GoodFellas (1990),Gladiator (2000),Men in Black (1997),
33,0,12 Angry Men (1957),Cool Hand Luke (1967),L.A. Confidential (1997),Little Big Man (1970),Princess Bride% The (1987),Good Will Hunting (1997),Three Days of the Condor (1975),Blade Runner (1982),And Now for Something Completely Different (1971),
34,1,She-Devil (1989),Fletch Lives (1989),Police Academy 4: Citizens on Patrol (1987),Meet Joe Black (1998),I.Q. (1994),Groundhog Day (1993),Ever After: A Cinderella Story (1998),Corrina% Corrina (1994),Phenomenon (1996),
35,0,West Side Story (1961),Duck Soup (1933),Room with a View% A (1986),Once Upon a Time in the West (1969),Pale Rider (1985),Gone with the Wind (1939),Wild Bunch% The (1969),Magnum Force (1973),Citizen Kane (1941),
36,1,Babe: Pig in the City (1998),Dark City (1998),World Is Not Enough% The (1999),Backdraft (1991),Full Metal Jacket (1987),Anna and the King (1999),Terms of Endearment (1983),20 Dates (1998),Blair Witch Project% The (1999),
37,0,Sabrina (1995),Muriel's Wedding (1994),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),You've Got Mail (1998),Forget Paris (1995),English Patient% The (1996),Benny & Joon (1993),Emma (1996),Butcher's Wife% The (1991),
38,1,Pretty Woman (1990),Sliding Doors (1998),Phenomenon (1996),Blast from the Past (1999),Love Letter% The (1999),You've Got Mail (1998),Groundhog Day (1993),American President% The (1995),Strictly Ballroom (1992),
39,0,Doors% The (1991),Cruel Intentions (1999),Messenger: The Story of Joan of Arc% The (1999),Big Daddy (1999),Erin Brockovich (2000),Romy and Michele's High School Reunion (1997),Pushing Tin (1999),Boiler Room (2000),Double Jeopardy (1999),
40,0,Mutiny on the Bounty (1935),Man Who Would Be King% The (1975),Adventures of Robin Hood% The (1938),Where Eagles Dare (1969),Flight of the Navigator (1986),Run Silent% Run Deep (1958),Bridge at Remagen% The (1969),Hook (1991),Guns of Navarone% The (1961),
41,0,Jurassic Park (1993),Sleepy Hollow (1999),Raiders of the Lost Ark (1981),Faculty% The (1998),E.T. the Extra-Terrestrial (1982),Back to the Future (1985),Powder (1995),Princess Bride% The (1987),Terminator% The (1984),
42,0,Batman (1989),Die Hard 2 (1990),Honey% I Shrunk the Kids (1989),Brazil (1985),Rocky Horror Picture Show% The (1975),Dark City (1998),Escape from L.A. (1996),Congo (1995),Predator 2 (1990),
43,0,Rushmore (1998),Fight Club (1999),Boys Don't Cry (1999),Chicken Run (2000),Talented Mr. Ripley% The (1999),Clerks (1994),Magnolia (1999),Erin Brockovich (2000),Man on the Moon (1999),
44,1,Goonies% The (1985),Splash (1984),Lord of the Flies (1963),Airplane! (1980),Creature Comforts (1990),Return to Oz (1985),Dragonheart (1996),Twelve Monkeys (1995),This Is Spinal Tap (1984),
45,1,Message in a Bottle (1999),Love Affair (1994),Waking Ned Devine (1998),Babe: Pig in the City (1998),L.A. Story (1991),It Could Happen to You (1994),Pretty in Pink (1986),Philadelphia Story% The (1940),Corrina% Corrina (1994),
46,0,Psycho (1998),Urban Legend (1998),Hellraiser (1987),Hellbound: Hellraiser II (1988),Texas Chainsaw Massacre 2% The (1986),Thinner (1996),Sleepaway Camp (1983),Child's Play (1988),Hideaway (1995),
47,0,Taxi Driver (1976),Sling Blade (1996),Usual Suspects% The (1995),L.A. Confidential (1997),Some Folks Call It a Sling Blade (1993),Amadeus (1984),Insider% The (1999),Good Will Hunting (1997),Hoop Dreams (1994),
48,1,Hocus Pocus (1993),Bicentennial Man (1999),Hurricane% The (1999),Cocoon (1985),What's Eating Gilbert Grape (1993),Jungle Book% The (1994),White Men Can't Jump (1992),Toys (1992),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),
49,1,Face/Off (1997),Galaxy Quest (1999),Hunt for Red October% The (1990),Braveheart (1995),Twelve Monkeys (1995),Road to El Dorado% The (2000),Patriot Games (1992),Fantasia 2000 (1999),Aladdin (1992),
50,0,Hollow Man (2000),Mission: Impossible 2 (2000),Pitch Black (2000),Patriot% The (2000),Road Trip (2000),Adventures of Rocky and Bullwinkle% The (2000),Love and Basketball (2000),Titan A.E. (2000),Snow Day (2000),
51,1,Chicken Run (2000),Wayne's World (1992),Babe: Pig in the City (1998),Being John Malkovich (1999),Full Monty% The (1997),Bug's Life% A (1998),As Good As It Gets (1997),Grosse Pointe Blank (1997),Private Parts (1997),
52,0,Patriot Games (1992),Rush Hour (1998),Payback (1999),Speed (1994),Conspiracy Theory (1997),GoldenEye (1995),Broken Arrow (1996),G.I. Jane (1997),Desperado (1995),
53,0,Mystery Science Theater 3000: The Movie (1996),Wild Wild West (1999),Dick (1999),Lost World: Jurassic Park% The (1997),Little Shop of Horrors% The (1960),Song of the South (1946),Net% The (1995),Schindler's List (1993),Awakenings (1990),
54,0,Monty Python's Life of Brian (1979),Some Like It Hot (1959),Duck Soup (1933),Harvey (1950),Manhattan (1979),Local Hero (1983),This Is Spinal Tap (1984),Diner (1982),My Favorite Year (1982),
55,0,Sling Blade (1996),Fargo (1996),Insider% The (1999),Saving Private Ryan (1998),L.A. Confidential (1997),Truman Show% The (1998),Seven (Se7en) (1995),Few Good Men% A (1992),Jerry Maguire (1996),
56,1,Some Folks Call It a Sling Blade (1993),Insider% The (1999),Seven (Se7en) (1995),Green Mile% The (1999),Life Is Beautiful (La Vita è bella) (1997),Run Lola Run (Lola rennt) (1998),Professional% The (a.k.a. Leon: The Professional) (1994),Simple Plan% A (1998),Babe: Pig in the City (1998),
57,0,U-571 (2000),Titan A.E. (2000),Mission to Mars (2000),Romeo Must Die (2000),Adventures of Rocky and Bullwinkle% The (2000),What Lies Beneath (2000),Loser (2000),Space Cowboys (2000),Road Trip (2000),
58,0,Moonraker (1979),Young Sherlock Holmes (1985),Midnight Run (1988),Chinatown (1974),Soldier (1998),Cube (1997),Who Framed Roger Rabbit? (1988),Green Mile% The (1999),F/X (1986),
59,0,12 Angry Men (1957),Meet Me in St. Louis (1944),Gypsy (1962),Cyrano de Bergerac (1990),Conversation% The (1974),Shadowlands (1993),Mr. Smith Goes to Washington (1939),Talented Mr. Ripley% The (1999),Cape Fear (1962),
60,1,Mask of Zorro% The (1998),Palmetto (1998),Waterworld (1995),Mask% The (1994),True Crime (1995),Star Trek: Insurrection (1998),Toy Story 2 (1999),Jungle Book% The (1994),Just Cause (1995),
61,0,Nutty Professor II: The Klumps (2000),Loser (2000),What Lies Beneath (2000),Coyote Ugly (2000),Remember the Titans (2000),Adventures of Rocky and Bullwinkle% The (2000),Cell% The (2000),Whole Nine Yards% The (2000),Rules of Engagement (2000),
62,0,Schindler's List (1993),Star Trek: Insurrection (1998),Miracle on 34th Street (1947),Nashville (1975),Sling Blade (1996),Modern Times (1936),Seven (Se7en) (1995),Clockwork Orange% A (1971),Wizard of Oz% The (1939),
63,0,Boys Don't Cry (1999),Drop Dead Gorgeous (1999),20 Dates (1998),Pushing Tin (1999),Brokedown Palace (1999),Entrapment (1999),Doctor Dolittle (1998),Civil Action% A (1998),Elizabeth (1998),
64,0,Mission: Impossible 2 (2000),Sleepy Hollow (1999),Shanghai Noon (2000),Space Cowboys (2000),Erin Brockovich (2000),Batman (1989),Fight Club (1999),Rules of Engagement (2000),Gone in 60 Seconds (2000),
65,1,Midnight Run (1988),Princess Bride% The (1987),Conspiracy Theory (1997),Glory (1989),Mask of Zorro% The (1998),Full Metal Jacket (1987),Braveheart (1995),Jewel of the Nile% The (1985),Bug's Life% A (1998),
66,0,U-571 (2000),Mission: Impossible 2 (2000),Frequency (2000),Space Cowboys (2000),X-Men (2000),Shanghai Noon (2000),Gone in 60 Seconds (2000),Whole Nine Yards% The (2000),What Lies Beneath (2000),
67,0,Spartacus (1960),Who's Afraid of Virginia Woolf? (1966),Inherit the Wind (1960),Streetcar Named Desire% A (1951),Raging Bull (1980),Easy Rider (1969),Klute (1971),Stalag 17 (1953),Five Easy Pieces (1970),
68,1,Toy Story 2 (1999),Fight Club (1999),Election (1999),Stand by Me (1986),Dogma (1999),Ghostbusters (1984),Raising Arizona (1987),Rushmore (1998),This Is Spinal Tap (1984),
69,0,Howards End (1992),Trainspotting (1996),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Apollo 13 (1995),Jerry Maguire (1996),In the Company of Men (1997),Immortal Beloved (1994),Shawshank Redemption% The (1994),Wings of the Dove% The (1997),
70,0,Kingpin (1996),Office Space (1999),54 (1998),Blair Witch Project% The (1999),Dick (1999),Pushing Tin (1999),Eyes Wide Shut (1999),Boiler Room (2000),Detroit Rock City (1999),
71,0,American Pie (1999),Arlington Road (1999),Summer of Sam (1999),Bringing Out the Dead (1999),Eye of the Beholder (1999),Bowfinger (1999),General's Daughter% The (1999),Double Jeopardy (1999),Whole Nine Yards% The (2000),
72,0,Shawshank Redemption% The (1994),Schindler's List (1993),Dave (1993),Shall We Dance? (Shall We Dansu?) (1996),Elizabeth (1998),October Sky (1999),Election (1999),To Die For (1995),Talented Mr. Ripley% The (1999),
73,1,Sneakers (1992),Twister (1996),Barb Wire (1996),Dick Tracy (1990),Mars Attacks! (1996),Freejack (1992),Wing Commander (1999),Beverly Hills Cop III (1994),Deep Impact (1998),
74,0,Reservoir Dogs (1992),GoodFellas (1990),Sling Blade (1996),Shawshank Redemption% The (1994),Seven (Se7en) (1995),Run Lola Run (Lola rennt) (1998),Schindler's List (1993),Everest (1998),Professional% The (a.k.a. Leon: The Professional) (1994),
75,1,Winnie the Pooh and the Blustery Day (1968),Secret of NIMH% The (1982),Steamboat Willie (1940),Song of the South (1946),Quest for Camelot (1998),Great Mouse Detective% The (1986),Tall Tale (1994),Three Caballeros% The (1945),Adventures of Pinocchio% The (1996),
76,1,Insider% The (1999),Some Folks Call It a Sling Blade (1993),Talented Mr. Ripley% The (1999),Schindler's List (1993),Dead Man Walking (1995),Simple Plan% A (1998),American History X (1998),Leaving Las Vegas (1995),Grifters% The (1990),
77,0,Clerks (1994),Kingpin (1996),Boys Don't Cry (1999),General's Daughter% The (1999),Office Space (1999),Go (1999),Magnolia (1999),Deep End of the Ocean% The (1999),Drop Dead Gorgeous (1999),
78,1,Song of the South (1946),Beauty and the Beast (1991),Fisher King% The (1991),Steamboat Willie (1940),Living Out Loud (1998),Mary Poppins (1964),So I Married an Axe Murderer (1993),Mumford (1999),Grosse Pointe Blank (1997),
79,0,Nutty Professor II: The Klumps (2000),Where the Heart Is (2000),Skulls% The (2000),Snow Falling on Cedars (1999),Gone in 60 Seconds (2000),Murder at 1600 (1997),Romeo Must Die (2000),Perfect Storm% The (2000),U-571 (2000),
80,1,Iron Giant% The (1999),Mulan (1998),Aladdin (1992),Galaxy Quest (1999),Hunchback of Notre Dame% The (1996),Babe (1995),Shawshank Redemption% The (1994),Legends of the Fall (1994),Men in Black (1997),
81,0,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Thin Man% The (1934),Godfather% The (1972),Cape Fear (1962),Touch of Evil (1958),American Graffiti (1973),Citizen Kane (1941),In the Heat of the Night (1967),Easy Rider (1969),
82,0,Dead Man Walking (1995),Negotiator% The (1998),Saving Private Ryan (1998),Thelma & Louise (1991),GoodFellas (1990),Mission: Impossible 2 (2000),World Is Not Enough% The (1999),Truman Show% The (1998),Some Folks Call It a Sling Blade (1993),
83,0,Bringing Out the Dead (1999),American Pie (1999),Doors% The (1991),NeverEnding Story III% The (1994),Borrowers% The (1997),Snow Falling on Cedars (1999),Random Hearts (1999),Clan of the Cave Bear% The (1986),Entrapment (1999),
84,0,Terminator 2: Judgment Day (1991),Who Framed Roger Rabbit? (1988),Blade Runner (1982),Jaws (1975),Back to the Future (1985),E.T. the Extra-Terrestrial (1982),Abyss% The (1989),Glory (1989),Clockwork Orange% A (1971),
85,0,Me% Myself and Irene (2000),Patriot% The (2000),Whole Nine Yards% The (2000),Shaft (2000),What Lies Beneath (2000),Gone in 60 Seconds (2000),Mission: Impossible 2 (2000),Big Momma's House (2000),Space Cowboys (2000),
86,0,Tom and Huck (1995),Erin Brockovich (2000),Matrix% The (1999),Bug's Life% A (1998),Evita (1996),American Beauty (1999),Elizabeth (1998),Who Framed Roger Rabbit? (1988),Election (1999),
87,0,Glory (1989),Full Metal Jacket (1987),Alien (1979),Godfather% The (1972),Thunderball (1965),Total Recall (1990),Titanic (1953),Patriot% The (2000),Back to the Future (1985),
88,0,Graduate% The (1967),Boat% The (Das Boot) (1981),My Left Foot (1989),Blue Velvet (1986),Deer Hunter% The (1978),Grapes of Wrath% The (1940),Big Chill% The (1983),Year of Living Dangerously (1982),Inherit the Wind (1960),
89,0,Drunken Master (Zui quan) (1979),And Now for Something Completely Different (1971),Cider House Rules% The (1999),Young Frankenstein (1974),Boat% The (Das Boot) (1981),Dead Man Walking (1995),Animal House (1978),Three Kings (1999),Life Is Beautiful (La Vita è bella) (1997),
90,1,Talented Mr. Ripley% The (1999),Jerry Maguire (1996),Cider House Rules% The (1999),Silence of the Lambs% The (1991),Shakespeare in Love (1998),Searching for Bobby Fischer (1993),Sneakers (1992),Of Mice and Men (1992),People vs. Larry Flynt% The (1996),
91,0,Stand by Me (1986),Sting% The (1973),Monty Python and the Holy Grail (1974),Bull Durham (1988),This Is Spinal Tap (1984),Christmas Story% A (1983),Say Anything... (1989),Little Big Man (1970),Breakfast Club% The (1985),
92,1,Rushmore (1998),Austin Powers: International Man of Mystery (1997),Stuart Little (1999),Iron Giant% The (1999),Song of the South (1946),Sword in the Stone% The (1963),Perfect Storm% The (2000),Fantasia 2000 (1999),Sesame Street Presents Follow That Bird (1985),
93,0,Braveheart (1995),Three Musketeers% The (1993),Fifth Element% The (1997),Days of Thunder (1990),Batman & Robin (1997),Hard-Boiled (Lashou shentan) (1992),Young Guns II (1990),Loaded Weapon 1 (1993),Ghost and the Darkness% The (1996),
94,0,Fright Night (1985),Eraserhead (1977),Rosemary's Baby (1968),Hunger% The (1983),Henry: Portrait of a Serial Killer (1990),Dead Ringers (1988),Nightmare on Elm Street% A (1984),Night of the Comet (1984),Runaway (1984),
95,0,In the Line of Fire (1993),Last of the Mohicans% The (1992),Crimson Tide (1995),Dances with Wolves (1990),Thomas Crown Affair% The (1999),Heat (1995),American Beauty (1999),Negotiator% The (1998),Thin Red Line% The (1998),
96,1,American Beauty (1999),Good Will Hunting (1997),Usual Suspects% The (1995),Some Folks Call It a Sling Blade (1993),Babe (1995),Thelma & Louise (1991),Talented Mr. Ripley% The (1999),Reservoir Dogs (1992),Insider% The (1999),
97,0,Bringing Up Baby (1938),M (1931),All About Eve (1950),Fargo (1996),Foreign Correspondent (1940),Cape Fear (1962),East of Eden (1955),Paths of Glory (1957),Gilda (1946),
98,0,Good Will Hunting (1997),GoodFellas (1990),Green Mile% The (1999),Sling Blade (1996),Dead Man Walking (1995),American Beauty (1999),Boat% The (Das Boot) (1981),Insider% The (1999),L.A. Confidential (1997),
99,1,Space Cowboys (2000),Chicken Run (2000),Romeo Must Die (2000),Down to You (2000),High Fidelity (2000),Life Is Beautiful (La Vita è bella) (1997),What Lies Beneath (2000),Silence of the Lambs% The (1991),Fargo (1996),
100,0,Who Framed Roger Rabbit? (1988),Galaxy Quest (1999),Boat% The (Das Boot) (1981),Alien (1979),Stargate (1994),Terminator 2: Judgment Day (1991),Fifth Element% The (1997),Star Trek: The Wrath of Khan (1982),Pulp Fiction (1994),
101,0,Abyss% The (1989),Galaxy Quest (1999),Robocop (1987),Jaws (1975),Stargate (1994),Fifth Element% The (1997),Face/Off (1997),Indiana Jones and the Last Crusade (1989),Rocky III (1982),
102,0,Clerks (1994),High Fidelity (2000),Ideal Husband% An (1999),Trekkies (1997),Graduate% The (1967),Angela's Ashes (1999),Man on the Moon (1999),Grapes of Wrath% The (1940),Dick (1999),
103,0,Eraser (1996),Siege% The (1998),Breakdown (1997),Speed (1994),Days of Thunder (1990),G.I. Jane (1997),Patriot Games (1992),Judge Dredd (1995),Devil's Own% The (1997),
104,0,Big Daddy (1999),Eyes Wide Shut (1999),South Park: Bigger% Longer and Uncut (1999),Entrapment (1999),Double Jeopardy (1999),Stuart Little (1999),Civil Action% A (1998),Instinct (1999),Astronaut's Wife% The (1999),
105,0,Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode I - The Phantom Menace (1999),From Russia with Love (1963),King Kong (1933),Men in Black (1997),French Connection% The (1971),Mariachi% El (1992),Thunderball (1965),
106,0,Postino% Il (The Postman) (1994),Cinema Paradiso (1988),Twelfth Night (1996),Affair to Remember% An (1957),Piano% The (1993),Quiet Man% The (1952),Fabulous Baker Boys% The (1989),Eat Drink Man Woman (1994),Brassed Off (1996),
107,0,Doctor Zhivago (1965),Amadeus (1984),To Kill a Mockingbird (1962),Apocalypse Now (1979),Rear Window (1954),Vertigo (1958),Pulp Fiction (1994),Midnight Cowboy (1969),Sling Blade (1996),
108,0,Mission: Impossible 2 (2000),Space Cowboys (2000),Rules of Engagement (2000),Frequency (2000),Remember the Titans (2000),Shanghai Noon (2000),Mission to Mars (2000),Reindeer Games (2000),Nurse Betty (2000),
109,1,Princess Bride% The (1987),Batman (1989),American Graffiti (1973),Close Encounters of the Third Kind (1977),Star Wars: Episode I - The Phantom Menace (1999),Who Framed Roger Rabbit? (1988),Yellow Submarine (1968),Rear Window (1954),African Queen% The (1951),
110,0,Freeway (1996),Space Cowboys (2000),Donnie Brasco (1997),Patriot% The (2000),Shanghai Noon (2000),Mission to Mars (2000),Ghost Dog: The Way of the Samurai (1999),Road Trip (2000),What Lies Beneath (2000),
111,0,Clueless (1995),American Beauty (1999),Apollo 13 (1995),Fargo (1996),Mumford (1999),Grosse Pointe Blank (1997),Basic Instinct (1992),GoodFellas (1990),Grand Canyon (1991),
112,1,Antz (1998),Dumbo (1941),Asphalt Jungle% The (1950),Song of the South (1946),Little Mermaid% The (1989),Sword in the Stone% The (1963),Bambi (1942),Crossfire (1947),Prince of Egypt% The (1998),
113,0,Total Recall (1990),Contact (1997),Whole Nine Yards% The (2000),Deep Impact (1998),Battlefield Earth (2000),Mars Attacks! (1996),Where the Heart Is (2000),Space Cowboys (2000),Shaft (2000),
114,1,Cinderella (1950),Fox and the Hound% The (1981),Steamboat Willie (1940),Secret of NIMH% The (1982),Muppet Christmas Carol% The (1992),Fantasia 2000 (1999),Three Caballeros% The (1945),Casper (1995),Sound of Music% The (1965),
115,0,Shanghai Noon (2000),American Psycho (2000),Snow Day (2000),Mission: Impossible 2 (2000),Rules of Engagement (2000),Battlefield Earth (2000),Space Cowboys (2000),28 Days (2000),Skulls% The (2000),
116,0,Willow (1988),Watership Down (1978),Bowfinger (1999),Powder (1995),General's Daughter% The (1999),Clan of the Cave Bear% The (1986),Big (1988),Excalibur (1981),Me% Myself and Irene (2000),
117,1,Pi (1998),Star Trek: The Motion Picture (1979),Young Sherlock Holmes (1985),Cocoon (1985),Strange Days (1995),Clockwork Orange% A (1971),Return to Oz (1985),Net% The (1995),Timecop (1994),
118,1,Young Sherlock Holmes (1985),F/X (1986),Fifth Element% The (1997),Parenthood (1989),Fast Times at Ridgemont High (1982),Midnight Run (1988),Hunt for Red October% The (1990),Wayne's World (1992),Alien (1979),
119,1,Fantasia 2000 (1999),Bambi (1942),Winnie the Pooh and the Blustery Day (1968),Prince of Egypt% The (1998),Tarzan (1999),Rescuers% The (1977),Fox and the Hound% The (1981),James and the Giant Peach (1996),Anastasia (1997),
120,0,Sling Blade (1996),Boat% The (Das Boot) (1981),Bonnie and Clyde (1967),Jaws (1975),Hoop Dreams (1994),Green Mile% The (1999),Dead Man Walking (1995),Good Will Hunting (1997),Leaving Las Vegas (1995),
121,1,Princess Bride% The (1987),Escape from New York (1981),Soylent Green (1973),Jurassic Park (1993),Aliens (1986),20%000 Leagues Under the Sea (1954),War of the Worlds% The (1953),Star Trek: The Motion Picture (1979),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),
122,0,Princess Bride% The (1987),Terminator 2: Judgment Day (1991),Braveheart (1995),Batman & Robin (1997),Alien (1979),E.T. the Extra-Terrestrial (1982),Mission: Impossible (1996),Who Framed Roger Rabbit? (1988),Alien³ (1992),
