,user,1,2,3,4,5,6
12,0,Casablanca (1942),French Connection% The (1971),North by Northwest (1959),It's a Wonderful Life (1946),Grapes of Wrath% The (1940),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
13,0,Star Trek: Insurrection (1998),Face/Off (1997),Starship Troopers (1997),Speed (1994),Star Trek: The Motion Picture (1979),Rock% The (1996)
14,0,Erin Brockovich (2000),Snow Falling on Cedars (1999),Man on the Moon (1999),Elizabeth (1998),Election (1999),Life Is Beautiful (La Vita è bella) (1997)
15,0,For Love of the Game (1999),Mickey Blue Eyes (1999),Messenger: The Story of Joan of Arc% The (1999),Speed (1994),U-571 (2000),Girl% Interrupted (1999)
16,0,Stuart Little (1999),Superstar (1999),Simply Irresistible (1999),Romy and Michele's High School Reunion (1997),Big Daddy (1999),Powder (1995)
17,0,Fargo (1996),Star Wars: Episode I - The Phantom Menace (1999),Fantastic Planet% The (La Planète sauvage) (1973),Brazil (1985),Dreamscape (1984),Blob% The (1958)
18,1,Watership Down (1978),Steamboat Willie (1940),James and the Giant Peach (1996),Song of the South (1946),Winnie the Pooh and the Blustery Day (1968),Fantasia 2000 (1999)
19,1,Birds% The (1963),Alice in Wonderland (1951),Bambi (1942),American Pie (1999),Stuart Little (1999),Song of the South (1946)
20,0,Total Recall (1990),Perfect Storm% The (2000),Superman (1978),Twelve Monkeys (1995),Army of Darkness (1993),American Psycho (2000)
21,1,Dinosaur (2000),Toy Story 2 (1999),Inspector Gadget (1999),Lion King% The (1994),Fantasia 2000 (1999),Babe: Pig in the City (1998)
22,0,Christmas Story% A (1983),White Men Can't Jump (1992),Rising Sun (1993),Star Wars: Episode IV - A New Hope (1977),Blade (1998),Sneakers (1992)
23,1,NeverEnding Story% The (1984),Pi (1998),Mad Max Beyond Thunderdome (1985),Stepford Wives% The (1975),Ghost in the Shell (Kokaku kidotai) (1995),Navigator: A Mediaeval Odyssey% The (1988)
24,0,Heathers (1989),Some Folks Call It a Sling Blade (1993),Dead Man Walking (1995),Life Is Beautiful (La Vita è bella) (1997),Christmas Story% A (1983),Hairspray (1988)
25,0,Stargate (1994),Wild Wild West (1999),Fifth Element% The (1997),Perfect Storm% The (2000),Stuart Little (1999),Dinosaur (2000)
26,1,Only You (1994),Tin Men (1987),Muse% The (1999),Arthur (1981),Moonstruck (1987),So I Married an Axe Murderer (1993)
27,0,Cape Fear (1962),Big Sleep% The (1946),Key Largo (1948),Third Man% The (1949),My Man Godfrey (1957),Wizard of Oz% The (1939)
28,1,Back to the Future (1985),Life Is Beautiful (La Vita è bella) (1997),Babe (1995),Run Lola Run (Lola rennt) (1998),Sling Blade (1996),Pulp Fiction (1994)
29,0,Enemy of the State (1998),Star Wars: Episode I - The Phantom Menace (1999),Face/Off (1997),Untouchables% The (1987),Batman (1989),Titanic (1953)
30,0,Sling Blade (1996),Green Mile% The (1999),Good Will Hunting (1997),Life Is Beautiful (La Vita è bella) (1997),Dead Man Walking (1995),Reservoir Dogs (1992)
31,0,Vacation (1983),Breakfast Club% The (1985),Big (1988),Palm Beach Story% The (1942),Caddyshack (1980),Ruthless People (1986)
32,0,Braveheart (1995),Reservoir Dogs (1992),Simple Plan% A (1998),Schindler's List (1993),Run Lola Run (Lola rennt) (1998),Shawshank Redemption% The (1994)
33,0,12 Angry Men (1957),Cool Hand Luke (1967),L.A. Confidential (1997),Little Big Man (1970),Princess Bride% The (1987),Good Will Hunting (1997)
34,1,She-Devil (1989),Fletch Lives (1989),Police Academy 4: Citizens on Patrol (1987),Meet Joe Black (1998),I.Q. (1994),Groundhog Day (1993)
35,0,West Side Story (1961),Duck Soup (1933),Room with a View% A (1986),Once Upon a Time in the West (1969),Pale Rider (1985),Gone with the Wind (1939)
36,1,Babe: Pig in the City (1998),Dark City (1998),World Is Not Enough% The (1999),Backdraft (1991),Full Metal Jacket (1987),Anna and the King (1999)
37,0,Sabrina (1995),Muriel's Wedding (1994),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),You've Got Mail (1998),Forget Paris (1995),English Patient% The (1996)
38,1,Pretty Woman (1990),Sliding Doors (1998),Phenomenon (1996),Blast from the Past (1999),Love Letter% The (1999),You've Got Mail (1998)
39,0,Doors% The (1991),Cruel Intentions (1999),Messenger: The Story of Joan of Arc% The (1999),Big Daddy (1999),Erin Brockovich (2000),Romy and Michele's High School Reunion (1997)
40,0,Mutiny on the Bounty (1935),Man Who Would Be King% The (1975),Adventures of Robin Hood% The (1938),Where Eagles Dare (1969),Flight of the Navigator (1986),Run Silent% Run Deep (1958)
41,0,Jurassic Park (1993),Sleepy Hollow (1999),Raiders of the Lost Ark (1981),Faculty% The (1998),E.T. the Extra-Terrestrial (1982),Back to the Future (1985)
42,0,Batman (1989),Die Hard 2 (1990),Honey% I Shrunk the Kids (1989),Brazil (1985),Rocky Horror Picture Show% The (1975),Dark City (1998)
43,0,Rushmore (1998),Fight Club (1999),Boys Don't Cry (1999),Chicken Run (2000),Talented Mr. Ripley% The (1999),Clerks (1994)
44,1,Goonies% The (1985),Splash (1984),Lord of the Flies (1963),Airplane! (1980),Creature Comforts (1990),Return to Oz (1985)
45,1,Message in a Bottle (1999),Love Affair (1994),Waking Ned Devine (1998),Babe: Pig in the City (1998),L.A. Story (1991),It Could Happen to You (1994)
46,0,Psycho (1998),Urban Legend (1998),Hellraiser (1987),Hellbound: Hellraiser II (1988),Texas Chainsaw Massacre 2% The (1986),Thinner (1996)
47,0,Taxi Driver (1976),Sling Blade (1996),Usual Suspects% The (1995),L.A. Confidential (1997),Some Folks Call It a Sling Blade (1993),Amadeus (1984)
48,1,Hocus Pocus (1993),Bicentennial Man (1999),Hurricane% The (1999),Cocoon (1985),What's Eating Gilbert Grape (1993),Jungle Book% The (1994)
49,1,Face/Off (1997),Galaxy Quest (1999),Hunt for Red October% The (1990),Braveheart (1995),Twelve Monkeys (1995),Road to El Dorado% The (2000)
50,0,Hollow Man (2000),Mission: Impossible 2 (2000),Pitch Black (2000),Patriot% The (2000),Road Trip (2000),Adventures of Rocky and Bullwinkle% The (2000)
51,1,Chicken Run (2000),Wayne's World (1992),Babe: Pig in the City (1998),Being John Malkovich (1999),Full Monty% The (1997),Bug's Life% A (1998)
52,0,Patriot Games (1992),Rush Hour (1998),Payback (1999),Speed (1994),Conspiracy Theory (1997),GoldenEye (1995)
53,0,Mystery Science Theater 3000: The Movie (1996),Wild Wild West (1999),Dick (1999),Lost World: Jurassic Park% The (1997),Little Shop of Horrors% The (1960),Song of the South (1946)
54,0,Monty Python's Life of Brian (1979),Some Like It Hot (1959),Duck Soup (1933),Harvey (1950),Manhattan (1979),Local Hero (1983)
55,0,Sling Blade (1996),Fargo (1996),Insider% The (1999),Saving Private Ryan (1998),L.A. Confidential (1997),Truman Show% The (1998)
56,1,Some Folks Call It a Sling Blade (1993),Insider% The (1999),Seven (Se7en) (1995),Green Mile% The (1999),Life Is Beautiful (La Vita è bella) (1997),Run Lola Run (Lola rennt) (1998)
57,0,U-571 (2000),Titan A.E. (2000),Mission to Mars (2000),Romeo Must Die (2000),Adventures of Rocky and Bullwinkle% The (2000),What Lies Beneath (2000)
58,0,Moonraker (1979),Young Sherlock Holmes (1985),Midnight Run (1988),Chinatown (1974),Soldier (1998),Cube (1997)
59,0,12 Angry Men (1957),Meet Me in St. Louis (1944),Gypsy (1962),Cyrano de Bergerac (1990),Conversation% The (1974),Shadowlands (1993)
60,1,Mask of Zorro% The (1998),Palmetto (1998),Waterworld (1995),Mask% The (1994),True Crime (1995),Star Trek: Insurrection (1998)
61,0,Nutty Professor II: The Klumps (2000),Loser (2000),What Lies Beneath (2000),Coyote Ugly (2000),Remember the Titans (2000),Adventures of Rocky and Bullwinkle% The (2000)
62,0,Schindler's List (1993),Star Trek: Insurrection (1998),Miracle on 34th Street (1947),Nashville (1975),Sling Blade (1996),Modern Times (1936)
63,0,Boys Don't Cry (1999),Drop Dead Gorgeous (1999),20 Dates (1998),Pushing Tin (1999),Brokedown Palace (1999),Entrapment (1999)
64,0,Mission: Impossible 2 (2000),Sleepy Hollow (1999),Shanghai Noon (2000),Space Cowboys (2000),Erin Brockovich (2000),Batman (1989)
65,1,Midnight Run (1988),Princess Bride% The (1987),Conspiracy Theory (1997),Glory (1989),Mask of Zorro% The (1998),Full Metal Jacket (1987)
66,0,U-571 (2000),Mission: Impossible 2 (2000),Frequency (2000),Space Cowboys (2000),X-Men (2000),Shanghai Noon (2000)
67,0,Spartacus (1960),Who's Afraid of Virginia Woolf? (1966),Inherit the Wind (1960),Streetcar Named Desire% A (1951),Raging Bull (1980),Easy Rider (1969)
68,1,Toy Story 2 (1999),Fight Club (1999),Election (1999),Stand by Me (1986),Dogma (1999),Ghostbusters (1984)
69,0,Howards End (1992),Trainspotting (1996),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Apollo 13 (1995),Jerry Maguire (1996),In the Company of Men (1997)
70,0,Kingpin (1996),Office Space (1999),54 (1998),Blair Witch Project% The (1999),Dick (1999),Pushing Tin (1999)
71,0,American Pie (1999),Arlington Road (1999),Summer of Sam (1999),Bringing Out the Dead (1999),Eye of the Beholder (1999),Bowfinger (1999)
72,0,Shawshank Redemption% The (1994),Schindler's List (1993),Dave (1993),Shall We Dance? (Shall We Dansu?) (1996),Elizabeth (1998),October Sky (1999)
73,1,Sneakers (1992),Twister (1996),Barb Wire (1996),Dick Tracy (1990),Mars Attacks! (1996),Freejack (1992)
74,0,Reservoir Dogs (1992),GoodFellas (1990),Sling Blade (1996),Shawshank Redemption% The (1994),Seven (Se7en) (1995),Run Lola Run (Lola rennt) (1998)
75,1,Winnie the Pooh and the Blustery Day (1968),Secret of NIMH% The (1982),Steamboat Willie (1940),Song of the South (1946),Quest for Camelot (1998),Great Mouse Detective% The (1986)
76,1,Insider% The (1999),Some Folks Call It a Sling Blade (1993),Talented Mr. Ripley% The (1999),Schindler's List (1993),Dead Man Walking (1995),Simple Plan% A (1998)
77,0,Clerks (1994),Kingpin (1996),Boys Don't Cry (1999),General's Daughter% The (1999),Office Space (1999),Go (1999)
78,1,Song of the South (1946),Beauty and the Beast (1991),Fisher King% The (1991),Steamboat Willie (1940),Living Out Loud (1998),Mary Poppins (1964)
79,0,Nutty Professor II: The Klumps (2000),Where the Heart Is (2000),Skulls% The (2000),Snow Falling on Cedars (1999),Gone in 60 Seconds (2000),Murder at 1600 (1997)
80,1,Iron Giant% The (1999),Mulan (1998),Aladdin (1992),Galaxy Quest (1999),Hunchback of Notre Dame% The (1996),Babe (1995)
81,0,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Thin Man% The (1934),Godfather% The (1972),Cape Fear (1962),Touch of Evil (1958),American Graffiti (1973)
82,0,Dead Man Walking (1995),Negotiator% The (1998),Saving Private Ryan (1998),Thelma & Louise (1991),GoodFellas (1990),Mission: Impossible 2 (2000)
83,0,Bringing Out the Dead (1999),American Pie (1999),Doors% The (1991),NeverEnding Story III% The (1994),Borrowers% The (1997),Snow Falling on Cedars (1999)
84,0,Terminator 2: Judgment Day (1991),Who Framed Roger Rabbit? (1988),Blade Runner (1982),Jaws (1975),Back to the Future (1985),E.T. the Extra-Terrestrial (1982)
85,0,Me% Myself and Irene (2000),Patriot% The (2000),Whole Nine Yards% The (2000),Shaft (2000),What Lies Beneath (2000),Gone in 60 Seconds (2000)
86,0,Tom and Huck (1995),Erin Brockovich (2000),Matrix% The (1999),Bug's Life% A (1998),Evita (1996),American Beauty (1999)
87,0,Glory (1989),Full Metal Jacket (1987),Alien (1979),Godfather% The (1972),Thunderball (1965),Total Recall (1990)
88,0,Graduate% The (1967),Boat% The (Das Boot) (1981),My Left Foot (1989),Blue Velvet (1986),Deer Hunter% The (1978),Grapes of Wrath% The (1940)
89,0,Drunken Master (Zui quan) (1979),And Now for Something Completely Different (1971),Cider House Rules% The (1999),Young Frankenstein (1974),Boat% The (Das Boot) (1981),Dead Man Walking (1995)
90,1,Talented Mr. Ripley% The (1999),Jerry Maguire (1996),Cider House Rules% The (1999),Silence of the Lambs% The (1991),Shakespeare in Love (1998),Searching for Bobby Fischer (1993)
91,0,Stand by Me (1986),Sting% The (1973),Monty Python and the Holy Grail (1974),Bull Durham (1988),This Is Spinal Tap (1984),Christmas Story% A (1983)
92,1,Rushmore (1998),Austin Powers: International Man of Mystery (1997),Stuart Little (1999),Iron Giant% The (1999),Song of the South (1946),Sword in the Stone% The (1963)
93,0,Braveheart (1995),Three Musketeers% The (1993),Fifth Element% The (1997),Days of Thunder (1990),Batman & Robin (1997),Hard-Boiled (Lashou shentan) (1992)
94,0,Fright Night (1985),Eraserhead (1977),Rosemary's Baby (1968),Hunger% The (1983),Henry: Portrait of a Serial Killer (1990),Dead Ringers (1988)
95,0,In the Line of Fire (1993),Last of the Mohicans% The (1992),Crimson Tide (1995),Dances with Wolves (1990),Thomas Crown Affair% The (1999),Heat (1995)
96,1,American Beauty (1999),Good Will Hunting (1997),Usual Suspects% The (1995),Some Folks Call It a Sling Blade (1993),Babe (1995),Thelma & Louise (1991)
97,0,Bringing Up Baby (1938),M (1931),All About Eve (1950),Fargo (1996),Foreign Correspondent (1940),Cape Fear (1962)
98,0,Good Will Hunting (1997),GoodFellas (1990),Green Mile% The (1999),Sling Blade (1996),Dead Man Walking (1995),American Beauty (1999)
99,1,Space Cowboys (2000),Chicken Run (2000),Romeo Must Die (2000),Down to You (2000),High Fidelity (2000),Life Is Beautiful (La Vita è bella) (1997)
100,0,Who Framed Roger Rabbit? (1988),Galaxy Quest (1999),Boat% The (Das Boot) (1981),Alien (1979),Stargate (1994),Terminator 2: Judgment Day (1991)
101,0,Abyss% The (1989),Galaxy Quest (1999),Robocop (1987),Jaws (1975),Stargate (1994),Fifth Element% The (1997)
102,0,Clerks (1994),High Fidelity (2000),Ideal Husband% An (1999),Trekkies (1997),Graduate% The (1967),Angela's Ashes (1999)
103,0,Eraser (1996),Siege% The (1998),Breakdown (1997),Speed (1994),Days of Thunder (1990),G.I. Jane (1997)
104,0,Big Daddy (1999),Eyes Wide Shut (1999),South Park: Bigger% Longer and Uncut (1999),Entrapment (1999),Double Jeopardy (1999),Stuart Little (1999)
105,0,Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode I - The Phantom Menace (1999),From Russia with Love (1963),King Kong (1933),Men in Black (1997)
106,0,Postino% Il (The Postman) (1994),Cinema Paradiso (1988),Twelfth Night (1996),Affair to Remember% An (1957),Piano% The (1993),Quiet Man% The (1952)
107,0,Doctor Zhivago (1965),Amadeus (1984),To Kill a Mockingbird (1962),Apocalypse Now (1979),Rear Window (1954),Vertigo (1958)
108,0,Mission: Impossible 2 (2000),Space Cowboys (2000),Rules of Engagement (2000),Frequency (2000),Remember the Titans (2000),Shanghai Noon (2000)
109,1,Princess Bride% The (1987),Batman (1989),American Graffiti (1973),Close Encounters of the Third Kind (1977),Star Wars: Episode I - The Phantom Menace (1999),Who Framed Roger Rabbit? (1988)
110,0,Freeway (1996),Space Cowboys (2000),Donnie Brasco (1997),Patriot% The (2000),Shanghai Noon (2000),Mission to Mars (2000)
111,0,Clueless (1995),American Beauty (1999),Apollo 13 (1995),Fargo (1996),Mumford (1999),Grosse Pointe Blank (1997)
112,1,Antz (1998),Dumbo (1941),Asphalt Jungle% The (1950),Song of the South (1946),Little Mermaid% The (1989),Sword in the Stone% The (1963)
113,0,Total Recall (1990),Contact (1997),Whole Nine Yards% The (2000),Deep Impact (1998),Battlefield Earth (2000),Mars Attacks! (1996)
114,1,Cinderella (1950),Fox and the Hound% The (1981),Steamboat Willie (1940),Secret of NIMH% The (1982),Muppet Christmas Carol% The (1992),Fantasia 2000 (1999)
115,0,Shanghai Noon (2000),American Psycho (2000),Snow Day (2000),Mission: Impossible 2 (2000),Rules of Engagement (2000),Battlefield Earth (2000)
116,0,Willow (1988),Watership Down (1978),Bowfinger (1999),Powder (1995),General's Daughter% The (1999),Clan of the Cave Bear% The (1986)
117,1,Pi (1998),Star Trek: The Motion Picture (1979),Young Sherlock Holmes (1985),Cocoon (1985),Strange Days (1995),Clockwork Orange% A (1971)
118,1,Young Sherlock Holmes (1985),F/X (1986),Fifth Element% The (1997),Parenthood (1989),Fast Times at Ridgemont High (1982),Midnight Run (1988)
119,1,Fantasia 2000 (1999),Bambi (1942),Winnie the Pooh and the Blustery Day (1968),Prince of Egypt% The (1998),Tarzan (1999),Rescuers% The (1977)
120,0,Sling Blade (1996),Boat% The (Das Boot) (1981),Bonnie and Clyde (1967),Jaws (1975),Hoop Dreams (1994),Green Mile% The (1999)
121,1,Princess Bride% The (1987),Escape from New York (1981),Soylent Green (1973),Jurassic Park (1993),Aliens (1986),20%000 Leagues Under the Sea (1954)
122,0,Princess Bride% The (1987),Terminator 2: Judgment Day (1991),Braveheart (1995),Batman & Robin (1997),Alien (1979),E.T. the Extra-Terrestrial (1982)
123,1,Thin Red Line% The (1998),Blues Brothers% The (1980),Patton (1970),Princess Bride% The (1987),Insider% The (1999),Field of Dreams (1989)
124,0,Lone Star (1996),Player% The (1992),Shawshank Redemption% The (1994),Dead Man Walking (1995),Fargo (1996),Devil in a Blue Dress (1995)
125,0,Adventures of Robin Hood% The (1938),U-571 (2000),Raiders of the Lost Ark (1981),Terminator 2: Judgment Day (1991),Robocop (1987),Mission: Impossible 2 (2000)
126,0,Cinema Paradiso (1988),Terminator% The (1984),From Russia with Love (1963),Billy's Hollywood Screen Kiss (1997),Star Wars: Episode V - The Empire Strikes Back (1980),To Catch a Thief (1955)
127,0,Titan A.E. (2000),Remember the Titans (2000),GoodFellas (1990),Blade Runner (1982),Saving Grace (2000),X-Files: Fight the Future% The (1998)
128,0,Men in Black (1997),High Fidelity (2000),Ferris Bueller's Day Off (1986),Star Wars: Episode I - The Phantom Menace (1999),Galaxy Quest (1999),Matrix% The (1999)
129,0,Menace II Society (1993),Freeway (1996),Indiana Jones and the Last Crusade (1989),Run Lola Run (Lola rennt) (1998),Clay Pigeons (1998),Planet of the Apes (1968)
130,0,Abyss% The (1989),Midnight Run (1988),Titanic (1953),Rock% The (1996),Star Wars: Episode I - The Phantom Menace (1999),Ronin (1998)
131,1,Babe (1995),Citizen Ruth (1996),Wallace & Gromit: The Best of Aardman Animation (1996),GoodFellas (1990),Blade Runner (1982),Jaws (1975)
132,1,Full Monty% The (1997),And Now for Something Completely Different (1971),Babe: Pig in the City (1998),Toy Story 2 (1999),Go (1999),Grosse Pointe Blank (1997)
133,0,Good Will Hunting (1997),Green Mile% The (1999),Brokedown Palace (1999),Eyes Wide Shut (1999),Dolores Claiborne (1994),Angela's Ashes (1999)
134,1,Stargate (1994),World Is Not Enough% The (1999),Desperado (1995),Batman & Robin (1997),Supercop (1992),Shaft (2000)
135,0,54 (1998),20 Dates (1998),Stuart Little (1999),For Love of the Game (1999),Civil Action% A (1998),Doors% The (1991)
136,1,Song of the South (1946),Swingers (1996),Pecker (1998),James and the Giant Peach (1996),Defending Your Life (1991),U2: Rattle and Hum (1988)
137,0,Life Is Beautiful (La Vita è bella) (1997),Sneakers (1992),Armageddon (1998),Dark City (1998),Insider% The (1999),In the Line of Fire (1993)
138,0,Jackie Brown (1997),Schindler's List (1993),Nikita (La Femme Nikita) (1990),Hoop Dreams (1994),Insider% The (1999),Big Lebowski% The (1998)
139,1,Little Mermaid% The (1989),Top Gun (1986),F/X (1986),Platoon (1986),Lord of the Flies (1963),Ladyhawke (1985)
140,0,Ninotchka (1939),Murder% My Sweet (1944),Wizard of Oz% The (1939),Thin Man% The (1934),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Cell% The (2000)
141,0,High Fidelity (2000),Perfect Storm% The (2000),Wrong Man% The (1956),Mission: Impossible 2 (2000),Erin Brockovich (2000),Gilda (1946)
142,1,Fargo (1996),Green Mile% The (1999),Run Lola Run (Lola rennt) (1998),GoodFellas (1990),Fight Club (1999),Shakespeare in Love (1998)
143,0,Entrapment (1999),Get Shorty (1995),Eyes Wide Shut (1999),Snow Falling on Cedars (1999),Rushmore (1998),In the Line of Fire (1993)
144,0,Perfect Storm% The (2000),Shaft (2000),Frequency (2000),Whole Nine Yards% The (2000),Beach% The (2000),Babe (1995)
145,0,Eyes Wide Shut (1999),54 (1998),Man on the Moon (1999),Bowfinger (1999),Snow Falling on Cedars (1999),Big Daddy (1999)
146,1,American in Paris% An (1951),Oliver! (1968),Terms of Endearment (1983),Peter Pan (1953),Help! (1965),My Left Foot (1989)
147,1,Total Recall (1990),Mask of Zorro% The (1998),Last of the Mohicans% The (1992),Outbreak (1995),Rush Hour (1998),In the Line of Fire (1993)
148,1,Stuart Little (1999),Batman & Robin (1997),Breakdown (1997),Sneakers (1992),Dark City (1998),Hard Rain (1998)
149,1,Arachnophobia (1990),One Flew Over the Cuckoo's Nest (1975),Shanghai Noon (2000),Bronx Tale% A (1993),Indiana Jones and the Last Crusade (1989),Howards End (1992)
150,1,Good Will Hunting (1997),Green Mile% The (1999),Snow Falling on Cedars (1999),Piano% The (1993),Doors% The (1991),Man on the Moon (1999)
151,1,Green Mile% The (1999),Goonies% The (1985),Chicken Run (2000),Something to Talk About (1995),Arachnophobia (1990),I.Q. (1994)
152,1,Bug's Life% A (1998),Orgazmo (1997),Fear of a Black Hat (1993),Rushmore (1998),Animal House (1978),Being John Malkovich (1999)
153,0,Eyes Wide Shut (1999),Cruel Intentions (1999),Man on the Moon (1999),Clerks (1994),Go (1999),Rushmore (1998)
154,0,Exotica (1994),Clerks (1994),Pacific Heights (1990),American Pie (1999),Summer of Sam (1999),Bringing Out the Dead (1999)
155,0,Grumpier Old Men (1995),Ace Ventura: Pet Detective (1994),Another Stakeout (1993),Death Becomes Her (1992),Wayne's World 2 (1993),Waterboy% The (1998)
156,1,Hope Floats (1998),Ever After: A Cinderella Story (1998),Random Hearts (1999),Forget Paris (1995),Six Days Seven Nights (1998),Ghost (1990)
157,1,Backdraft (1991),Alien Nation (1988),Fifth Element% The (1997),Conspiracy Theory (1997),Manhattan Murder Mystery (1993),American Graffiti (1973)
158,0,Touch of Evil (1958),Key Largo (1948),Treasure of the Sierra Madre% The (1948),M (1931),Cape Fear (1962),Strangers on a Train (1951)
159,0,Entrapment (1999),Stuart Little (1999),Bone Collector% The (1999),Superstar (1999),Random Hearts (1999),For Love of the Game (1999)
160,0,Star Wars: Episode V - The Empire Strikes Back (1980),Back to the Future (1985),Wizard of Oz% The (1939),Star Wars: Episode I - The Phantom Menace (1999),Mission to Mars (2000),Matrix% The (1999)
161,0,Raging Bull (1980),Green Mile% The (1999),Piano% The (1993),Room with a View% A (1986),Sling Blade (1996),E.T. the Extra-Terrestrial (1982)
162,1,World Is Not Enough% The (1999),Ninth Gate% The (2000),Dick Tracy (1990),Hunchback of Notre Dame% The (1996),True Lies (1994),Hercules (1997)
163,1,Hurricane% The (1999),Man on the Moon (1999),Stuart Little (1999),Superstar (1999),Bowfinger (1999),Inspector Gadget (1999)
164,0,Holiday Inn (1942),Shane (1953),Mister Roberts (1955),March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),My Dog Skip (1999),Raisin in the Sun% A (1961)
165,0,Abyss% The (1989),Close Encounters of the Third Kind (1977),Godfather% The (1972),E.T. the Extra-Terrestrial (1982),Princess Bride% The (1987),Stand by Me (1986)
166,0,Face/Off (1997),Twelve Monkeys (1995),Glengarry Glen Ross (1992),Blade Runner (1982),Princess Bride% The (1987),Rocky Horror Picture Show% The (1975)
167,0,Return to Me (2000),My Dog Skip (1999),Gone in 60 Seconds (2000),Nutty Professor II: The Klumps (2000),Frequency (2000),Shanghai Noon (2000)
168,1,Godfather% The (1972),Nightmare Before Christmas% The (1993),Back to the Future (1985),Who Framed Roger Rabbit? (1988),Bug's Life% A (1998),Shakespeare in Love (1998)
169,1,History of the World: Part I (1981),Sneakers (1992),Truman Show% The (1998),Big Lebowski% The (1998),Full Metal Jacket (1987),12 Angry Men (1957)
170,0,African Queen% The (1951),Star Wars: Episode I - The Phantom Menace (1999),Men in Black (1997),Princess Bride% The (1987),Patriot% The (2000),Brazil (1985)
171,0,Paradise Lost: The Child Murders at Robin Hood Hills (1996),War Room% The (1993),42 Up (1998),Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Hands on a Hard Body (1996),Big One% The (1997)
172,0,Cape Fear (1962),Touch of Evil (1958),M (1931),Gilda (1946),Wrong Man% The (1956),Thin Blue Line% The (1988)
173,1,Man Who Knew Too Much% The (1956),Blue Angel% The (Blaue Engel% Der) (1930),Stop Making Sense (1984),Gilda (1946),One Flew Over the Cuckoo's Nest (1975),Indiana Jones and the Last Crusade (1989)
174,0,F/X (1986),Midnight Run (1988),Galaxy Quest (1999),Mad Max (1979),Mission: Impossible 2 (2000),Aliens (1986)
175,1,Welcome to the Dollhouse (1995),Beetlejuice (1988),Sleepy Hollow (1999),Jungle Fever (1991),Close Encounters of the Third Kind (1977),GoodFellas (1990)
176,0,Good Morning% Vietnam (1987),Gods Must Be Crazy II% The (1989),Weird Science (1985),Stand by Me (1986),Weekend at Bernie's (1989),Beetlejuice (1988)
177,0,Back to the Future (1985),Jaws (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Clockwork Orange% A (1971),Braveheart (1995),Total Recall (1990)
178,0,Evita (1996),Gypsy (1962),Funny Face (1957),Willy Wonka and the Chocolate Factory (1971),Ladyhawke (1985),Little Mermaid% The (1989)
179,0,Mystery Science Theater 3000: The Movie (1996),Howard the Duck (1986),Sneakers (1992),X-Files: Fight the Future% The (1998),Bamba% La (1987),Dark City (1998)
180,0,Return to Me (2000),Run Lola Run (Lola rennt) (1998),Best in Show (2000),Magnolia (1999),Nurse Betty (2000),Big Kahuna% The (2000)
181,1,History of the World: Part I (1981),Professional% The (a.k.a. Leon: The Professional) (1994),Sling Blade (1996),Conspiracy Theory (1997),Thelma & Louise (1991),Lethal Weapon 2 (1989)
